%depth(m)	age_(ka)
0	0
0.3333	0.0212
0.4433	1.1258
0.5533	1.5073
0.6999	2.2677
0.8465	3.1516
0.9932	4.0622
1.1398	4.8655
1.2865	5.6212
1.4331	6.4765
1.5431	7.1531
1.6531	7.8517
1.8364	8.9041
1.9097	9.2339
1.983	9.5652
2.0563	9.9031
2.2396	10.5412
2.4229	11.3
2.6062	12.0274
2.7895	12.5982
2.8628	12.8668
3.0461	13.6809
3.1928	14.7466
3.2294	15.0605
3.3028	15.9979
3.3394	16.5826
3.4127	17.7443
3.4494	18.2078
3.5227	19.0516
3.6327	20.2546
3.7793	21.8305
3.816	22.1589
3.9626	23.2531
4.0726	24.046
4.2559	25.4039
4.3292	25.8662
4.4026	26.3466
4.4759	26.8518
4.6592	28.3044
4.7692	29.1169
4.9158	29.9145
5.0991	30.6466
5.2824	31.3992
5.4657	32.2561
5.5024	32.4495
5.539	32.728
5.5757	33.0366
5.6123	33.3453
5.7223	34.5799
5.759	35.1972
5.7956	36.1232
5.8323	37.0492
5.869	37.9752
5.9056	38.9012
5.9789	40.4445
6.0156	41.0618
6.1256	42.6051
6.2356	44.1484
6.3455	45.6917
6.3822	46.309
6.4555	47.8523
6.5288	49.3956
6.6022	50.9389
6.6755	52.4822
6.7488	54.0255
6.7855	54.6428
6.8221	55.2601
6.9321	56.8034
7.0421	58.3467
7.0787	58.9641
7.1521	60.5074
7.262	62.0507
7.3354	62.9766
7.4453	64.2113
7.482	64.5199
7.5187	64.8286
7.702	66.0632
7.7386	66.3719
7.7753	66.6806
7.8119	66.9892
7.8486	67.2979
7.9586	68.5325
8.0319	69.4585
8.1419	71.0018
8.1785	71.6191
8.2152	72.2364
8.2519	72.8538
8.2885	73.4711
8.3985	75.0144
8.4718	75.9404
8.5818	77.3081
8.6185	77.6777
8.8018	79.1557
8.8384	79.5253
8.9484	81.0033
9.0217	82.1119
9.0584	82.8509
9.1317	84.6985
9.205	85.8093
9.2417	86.1962
9.315	86.7765
9.3517	86.9699
9.3883	87.1633
9.535	87.9781
9.7183	88.9041
9.9016	89.8301
10.0849	90.756
10.2682	91.682
10.3781	92.2993
10.4881	92.9167
10.6348	93.8426
10.8181	95.0773
10.8547	95.3859
11.0014	96.9292
11.1113	98.1639
11.1847	99.0899
11.2946	100.498
11.3313	101.0185
11.4046	102.3209
11.4779	103.6225
11.5146	104.143
11.5879	104.9241
11.6246	105.2022
11.8079	106.3427
11.8445	106.6272
11.8812	106.9125
11.9912	108.053
12.0645	108.9221
12.1745	110.4202
12.2845	112.0779
12.3578	113.0727
12.3944	113.4047
12.5044	114.0676
	
	
12.6877	117.5
15.6938	132
	
15.9871	137
16.3904	141.068
	
17.0136	143.5
	
17.5635	152.797
