%depth	d13C	d18O
0.15	1.09	2.75
0.24	0.95	2.8
0.3	1.16	2.78
0.45	1.08	2.79
0.66	1.09	2.78
0.75	0.92	2.75
0.78	1.01	2.77
0.81	0.98	2.58
0.84	1.2	2.59
1.05	1.29	2.83
1.11	1.15	2.79
1.14	1.17	2.79
1.2	0.84	2.94
1.29	0.86	2.93
1.35	1.22	2.75
1.38	1.22	2.77
1.41	0.92	2.78
1.44	0.82	2.75
1.53	0.98	2.78
1.56	1.1	2.83
1.62	1.27	2.74
1.65	1.26	2.8
1.71	1.1	2.66
1.8	1.26	2.8
1.94	0.35	3.05
2.15	1.03	2.8
2.24	1.02	2.82
2.27	0.63	2.73
2.3	1.15	2.88
2.36	1.07	2.84
2.39	1.01	2.77
2.45	1.06	2.8
2.51	0.81	2.83
2.57	0.97	2.96
2.64	0.93	2.84
2.67	1.17	2.94
2.76	0.9	3.01
2.79	0.92	2.91
2.82	0.94	2.87
2.85	0.68	2.77
2.88	0.96	3.08
2.91	0.38	3.23
2.98	0.94	3.08
3	1.02	3.26
3.03	1.04	3.5
3.06	1.07	3.47
3.12	1.15	3.69
3.15	0.92	3.5
3.18	1.08	3.54
3.21	0.82	3.52
3.24	1.09	3.55
3.27	0.93	3.54
3.3	0.86	3.44
3.36	1.1	4.27
3.39	0.82	4.27
3.45	1.16	4.55
3.48	1.08	4.46
3.51	0.53	4.43
3.54	1.02	4.36
3.57	1.03	4.31
3.6	0.92	4.33
3.63	1.13	4.5
3.66	1.04	4.38
3.69	1.06	4.4
3.72	0.99	4.31
3.75	0.83	4.48
3.78	0.88	4.47
3.81	0.8	4.44
3.87	0.87	4.05
3.9	1.07	4.39
3.93	1.24	4.19
3.99	1.34	4.25
4.05	1.22	4.2
4.08	1.27	4.29
4.14	0.98	4.26
4.17	1.32	4.27
4.26	1.31	4.21
4.29	1.1	3.99
4.32	1.28	4.19
4.5	1.48	4.24
4.53	1.5	4.28
4.56	1.27	4.25
4.62	0.81	3.92
4.65	1.38	4.36
4.68	-0.42	4.46
4.71	1.14	4.24
4.74	1.1	4.2
4.8	1.15	4.13
4.83	1.12	4.1
4.88	0.93	4.1
4.91	0.84	4.16
4.97	0.65	3.89
5	0.66	3.71
5.03	0.84	4
5.06	1.02	4.03
5.15	1.07	3.99
5.18	1.07	4.09
5.21	1.01	4.02
5.24	0.87	3.96
5.27	1.09	4
5.3	1.08	4.12
5.33	1.01	4.21
5.36	1.14	4.18
5.39	1.16	4.1
5.42	1	4.04
5.51	1.27	4.02
5.54	0.69	4.19
5.57	0.46	4.09
5.61	-0.11	4.17
5.64	0.92	3.88
5.67	0.93	3.97
5.7	1.18	3.97
5.73	1.09	4.1
5.76	0.91	3.86
5.79	1.14	3.8
5.82	1.09	3.85
5.85	1.11	3.85
5.88	1.1	3.64
5.91	1.2	4.02
5.94	1.19	3.88
5.98	1.13	3.98
6.03	1.02	3.94
6.06	1.03	3.95
6.09	0.98	4.02
6.12	1.3	4
6.15	0.69	3.95
6.18	1.2	3.98
6.21	1.34	3.9
6.24	1.08	3.9
6.33	1.29	3.77
6.45	1.26	3.68
6.51	1.13	3.76
6.51	1.4	3.84
6.54	1.23	3.74
6.57	1.15	3.8
6.6	0.98	3.84
6.63	1.02	3.6
6.69	0.98	3.66
6.72	0.98	3.72
6.75	0.93	3.84
6.78	0.74	3.69
6.81	0.94	4.04
6.84	1.24	4.02
6.87	0.85	3.68
6.9	1.08	3.95
6.93	1.09	3.95
6.96	1.19	4
6.99	1.14	3.88
7.05	1.08	3.78
7.08	1.14	3.74
7.11	0.73	3.63
7.14	1	3.8
7.2	1.09	3.68
7.23	0.88	3.84
7.26	0.61	4.05
7.29	0.77	3.68
7.32	0.78	4.27
7.35	0.71	4.16
7.38	0.88	4.13
7.41	0.9	4.1
7.44	0.56	4.02
7.47	0.97	3.61
7.47	0.82	4
7.53	1.01	4.16
7.59	0.71	4.3
7.63	0.97	4.09
7.65	0.83	4.15
7.68	1.16	4.03
7.74	1.31	3.91
7.77	1.15	3.83
7.83	1.01	3.67
7.86	0.95	4.19
7.89	0.76	4.04
7.95	1.26	3.93
7.98	0.8	3.83
8.04	1.21	3.96
8.14	1.32	3.58
8.25	1.27	3.52
8.28	1.02	3.58
8.34	1.17	3.56
8.37	1.11	3.38
8.43	1.06	3.58
8.46	1.08	3.55
8.49	1.26	3.62
8.55	1.27	3.69
8.58	1.13	3.69
8.64	1.13	3.68
8.67	1.3	3.7
8.73	1.24	3.66
8.76	1.01	3.55
8.82	1.26	3.91
8.85	1.32	3.69
8.88	1.17	3.58
8.94	1.38	3.57
9.03	1.05	3.56
9.06	1.06	3.54
9.09	1.21	3.49
9.12	1.11	3.34
9.15	1.14	3.34
9.18	1.03	3.28
9.24	1.03	3.38
9.27	0.78	3.32
9.33	1.24	3.7
9.36	1.14	3.41
9.39	1.08	3.97
9.45	1.31	3.52
9.48	1.19	3.49
9.54	1.04	3.71
9.57	1.2	3.77
9.63	1.3	3.76
9.66	1.26	3.73
9.69	1.34	3.85
9.72	1.15	3.71
9.75	1.39	3.66
9.78	1.17	3.55
9.82	1.18	3.57
9.84	1.03	3.64
9.87	0.96	3.72
9.96	1	3.56
10.05	1.04	3.62
10.14	1.12	3.41
10.23	1.06	3.44
10.29	1.13	3.53
10.35	1.02	3.34
10.44	1.14	3.53
10.47	0.96	3.54
10.53	1.14	3.32
10.59	1	3.26
10.63	1.15	3.39
10.77	1.03	3.76
10.89	1.01	3.31
10.95	1.16	3.6
11.16	0.94	3.42
11.25	1.39	3.5
11.28	1.26	3.44
11.37	1.29	3.44
11.43	1.21	3.42
11.53	1.01	3.39
11.55	0.93	3.51
11.58	0.97	3.59
11.64	1.08	3.54
11.73	0.91	3.59
11.76	1.02	3.62
11.82	0.6	3.47
11.85	0.81	3.37
11.88	0.86	3.5
11.97	0.78	3.29
12.12	1.05	3.75
12.15	0.87	3.73
12.18	0.94	3.84
12.24	0.91	3.66
12.34	1.2	3.74
12.4	1.15	3.55
12.46	1.07	3.35
12.49	1.07	3.56
12.55	1.11	3.35
12.67	0.93	3.29
12.76	1.04	3.21
12.85	0.99	3.06
12.88	1.07	2.98
12.91	0.9	2.85
12.94	0.75	2.92
13.21	0.73	2.96
13.62	0.97	2.74
13.74	0.5	2.56
13.77	0.74	2.67
13.89	0.94	2.8
13.95	0.61	2.76
14.01	0.84	2.55
14.04	0.82	2.86
14.35	0.75	2.65
14.59	0.91	2.67
14.62	0.86	2.66
14.8	0.8	2.75
14.83	0.61	2.61
14.86	0.9	2.63
14.95	0.83	2.72
14.98	0.72	2.44
15.01	0.93	2.75
15.07	0.68	2.7
15.1	0.75	2.73
15.13	0.87	2.62
15.16	0.67	2.57
15.19	0.69	2.66
15.22	0.62	2.66
15.25	0.76	2.62
15.28	0.84	2.62
15.31	0.89	2.48
15.34	0.24	2.73
15.37	0.62	2.66
15.4	0.11	3.15
15.46	0.53	2.64
15.49	0.47	2.65
15.55	0.51	2.53
15.58	0.48	2.4
15.64	0.29	2.65
15.67	0.24	3.15
15.7	0.69	3.68
15.73	-0.07	2.79
15.76	0.45	3.2
15.79	0.08	2.89
15.85	0.7	4.48
15.88	0.59	4.34
15.91	0.21	3.28
15.94	0.96	4.41
15.97	0.87	4.41
16	0.95	4.46
16.09	0.75	4.41
16.12	0.97	4.3
16.15	0.68	4.33
16.18	0.8	4.46
16.24	0.97	4.43
16.27	0.91	4.38
16.3	0.77	4.55
16.33	0.97	4.5
16.36	0.95	4.35
16.42	0.45	4.38
16.45	1.01	4.64
16.48	1.12	4.55
16.51	1.24	4.22
16.54	1.14	4.45
16.57	1.12	4.54
16.6	1.13	4.56
16.63	1.1	4.52
16.66	1.26	4.5
16.74	1.2	4.52
16.77	0.98	4.44
16.8	1.22	4.4
16.83	0.62	4.42
16.86	0.67	4.35
16.89	0.49	4.43
16.92	0.61	4.39
16.95	0.6	3.99
16.98	0.57	4.02
17.02	0.57	4.39
17.05	0.6	3.99
17.08	0.57	4
17.11	0.6	3.85
